ID	M1_1	M1_2	M1_3	M1_4	M1_5	M1_6	M1_7	M1_8	M1_9	M1_10	M1_11	M2_1	M2_2	M2_3	M2_4	M2_5	M2_6	M2_7	M2_8	M2_9	M2_10	M2_11	M3_1	M3_2	M3_3	M3_4	M3_5	M3_6	M3_7	M3_8	M3_9	M3_10	M3_11	M4_1	M4_2	M4_3	M4_4	M4_5	M4_6	M4_7	M4_8	M4_9	M4_10	M4_11	M5_1	M5_2	M5_3	M5_4	M5_5	M5_6	M5_7	M5_8	M5_9	M5_10	M5_11
AxC0013	1	1	1	2	1	1	2	2	2	1	2	1	1	1	2	2	2	1	2	1	1	1	2	1	1	2	1	1	2	1	1	1	2	1	2	1	2	1	1	1	1	2	2	1	1	1	1	2	1	1	2	1	1	1	2
AxC0014	1	2	2	2	1	1	2	2	1	2	2	1	2	1	2	2	2	1	2	1	1	2	2	1	1	2	1	2	1	2	1	1	2	2	1	2	1	1	1	1	2	1	2	1	2	1	2	2	2	2	1	1	2	1	2
AxC0015	1	1	1	1	2	1	1	2	2	1	2	1	2	1	2	1	1	2	2	1	1	2	2	1	1	2	1	2	2	1	1	1	2	1	2	1	2	1	1	1	1	2	2	1	1	1	1	2	1	2	1	1	2	2	1
AxC0016	1	2	2	2	1	1	1	2	2	1	2	1	1	1	2	1	1	2	2	1	1	2	2	1	1	1	1	1	2	1	1	1	2	1	2	2	1	1	2	1	2	1	2	1	2	1	1	2	1	1	2	1	1	1	2
AxC0017	1	1	1	1	2	1	1	2	2	1	2	1	2	1	2	1	1	2	2	1	1	1	2	2	1	2	1	2	1	2	1	1	2	1	2	2	1	1	2	1	1	2	2	1	1	1	1	2	1	1	2	1	2	2	1
AxC0018	1	1	1	1	2	1	1	2	2	1	2	1	2	1	2	1	1	2	2	1	1	2	2	2	1	1	1	1	2	1	1	1	2	2	1	2	1	1	2	1	2	1	2	1	1	1	1	2	2	2	1	1	2	2	1
AxC0019	1	1	1	1	2	1	2	2	2	1	2	1	2	1	2	2	1	1	2	1	1	2	2	2	1	2	1	2	1	2	1	1	2	1	2	1	2	1	1	1	1	2	2	1	1	1	1	2	1	2	1	1	2	2	1
AxC0020	1	2	2	2	2	1	1	2	2	1	2	1	1	1	2	1	1	2	2	1	1	1	2	2	1	1	1	2	2	1	1	1	2	2	1	2	1	1	1	1	1	1	2	1	2	1	1	2	2	2	1	1	2	2	1
AxC0021	1	2	1	1	2	1	1	2	2	1	2	1	2	1	2	2	2	1	2	1	1	2	2	1	1	2	1	2	1	2	1	1	2	1	2	1	1	1	2	1	2	2	2	1	1	1	1	2	1	1	2	1	1	1	2
AxC0022	1	2	1	1	2	1	1	2	1	2	2	1	2	1	2	1	1	2	2	1	1	1	2	1	1	2	1	2	1	2	1	1	2	1	2	1	2	1	1	1	1	2	2	1	1	1	1	2	1	2	1	1	2	2	1
AxC0023	1	1	2	1	2	1	1	2	2	1	2	1	2	1	2	1	2	1	2	1	1	1	2	2	1	1	1	2	1	2	1	1	2	2	1	2	1	1	2	1	2	2	2	1	2	1	2	2	2	2	1	1	1	1	2
AxC0024	1	2	2	2	2	1	2	2	1	1	2	1	1	1	2	1	1	2	2	1	1	2	2	1	1	2	1	1	2	1	1	1	2	2	1	2	1	1	2	1	1	2	2	1	2	1	1	2	2	1	2	1	1	1	2
AxC0025	1	2	2	2	1	1	2	2	2	1	2	1	2	1	2	2	2	1	2	1	1	1	2	1	1	2	1	2	1	2	1	1	2	2	2	1	1	1	1	1	1	2	2	1	2	1	2	2	2	2	1	1	2	1	2
AxC0026	1	2	2	2	1	1	2	2	2	1	2	1	2	1	2	2	2	1	2	1	1	1	2	1	1	2	1	2	2	1	1	1	2	2	1	1	1	1	2	1	2	1	2	1	1	1	1	2	2	2	1	1	1	1	2
AxC0027	1	1	1	1	2	1	1	2	2	1	2	1	2	1	2	2	2	1	2	1	1	2	2	1	1	1	1	1	2	2	1	1	2	2	1	1	2	1	1	1	1	1	2	1	2	1	2	2	1	1	2	1	1	1	2
AxC0028	1	1	1	1	2	1	1	2	2	1	2	1	2	1	2	2	2	1	2	1	1	2	2	1	1	2	1	2	1	2	1	1	2	2	1	2	1	1	2	1	2	1	2	1	1	1	2	2	2	1	1	1	2	1	2
AxC0029	1	1	2	2	1	1	2	2	2	1	2	1	1	1	2	1	2	1	2	1	1	2	2	1	1	2	1	2	1	2	1	1	2	1	2	1	2	1	1	1	2	2	2	1	1	1	2	2	2	2	1	1	2	2	1
AxC0030	1	1	1	1	2	1	1	2	2	1	2	1	1	1	2	2	2	1	2	1	1	1	2	1	1	2	1	2	2	1	1	1	2	2	1	2	1	1	2	1	1	2	2	1	1	1	2	2	1	1	2	1	1	2	1
AxC0031	1	1	1	2	1	1	2	2	1	2	2	1	1	1	2	2	2	1	2	1	1	2	2	1	1	1	1	1	2	1	1	1	2	1	2	2	1	1	2	1	2	1	2	1	1	1	1	2	1	1	2	1	1	1	2
AxC0032	1	2	2	2	1	1	2	2	1	2	2	1	2	1	2	1	1	2	2	1	1	1	2	2	1	1	1	1	2	1	1	1	2	1	2	1	2	1	1	1	1	2	2	1	2	1	2	2	2	2	1	1	2	2	1
AxC0033	1	2	2	2	1	1	2	2	1	2	2	1	1	1	2	1	1	2	2	1	1	2	2	1	1	2	1	1	1	2	1	1	2	2	1	2	2	1	1	1	1	2	2	1	2	1	2	2	2	2	2	1	1	1	1
AxC0034	1	1	1	1	2	1	1	2	2	1	2	1	1	1	2	1	1	2	2	1	1	1	2	2	1	1	1	1	2	1	1	1	2	2	2	1	1	1	2	1	1	2	2	1	1	1	1	2	1	1	2	1	1	1	2
AxC0035	1	1	1	2	1	1	2	2	1	1	2	1	2	1	2	2	2	1	2	1	1	2	2	2	1	1	1	2	1	2	1	1	2	2	1	2	1	1	2	1	2	1	2	1	1	1	2	2	1	1	1	1	2	2	1
AxC0036	1	2	2	2	1	1	2	2	1	1	2	1	1	1	2	1	1	2	2	1	1	1	2	2	1	1	1	2	1	2	1	1	2	2	1	2	1	1	2	1	2	2	2	1	2	1	2	2	1	1	2	1	1	1	2
AxC0037	1	2	2	1	2	1	1	2	2	2	2	1	1	1	2	1	2	1	2	1	1	2	2	1	1	2	1	1	2	1	1	1	2	2	1	2	1	1	1	1	1	2	2	1	1	1	2	2	2	2	1	1	2	1	2
AxC0038	1	1	1	1	2	1	2	2	1	2	2	1	1	1	2	1	1	2	2	1	1	1	2	1	1	2	1	2	1	2	1	1	2	2	1	2	1	1	2	1	2	1	2	1	2	1	2	2	2	2	1	1	1	1	2
AxC0039	1	1	1	1	2	1	1	2	2	2	2	1	1	1	2	2	2	1	2	1	1	2	2	1	1	1	1	1	1	2	1	1	2	1	2	1	2	1	1	1	1	2	2	1	1	1	1	2	1	1	2	1	2	2	1
AxC0040	1	1	1	1	2	1	2	2	1	2	2	1	2	1	2	2	1	2	2	1	1	1	2	2	1	2	1	1	1	1	1	1	2	2	1	2	1	1	2	1	2	1	2	1	1	1	1	2	1	1	2	1	1	1	2
AxC0041	1	2	2	2	1	1	2	2	1	2	2	1	2	1	2	1	1	2	2	1	1	1	2	2	1	2	1	1	2	1	1	1	2	2	2	2	1	1	2	1	2	1	2	1	1	1	1	2	2	2	1	1	1	1	2
AxC0042	1	2	2	2	1	1	2	2	2	1	2	1	2	1	2	2	2	1	2	1	1	2	2	1	1	2	1	2	1	2	1	1	2	2	1	2	1	1	2	1	2	1	2	1	2	1	2	2	2	2	1	1	2	1	2
AxC0043	1	2	1	1	2	1	1	2	2	1	2	1	1	1	2	1	1	1	2	1	1	1	2	2	1	1	1	2	1	2	1	1	2	2	1	2	2	1	1	1	2	1	2	1	2	1	2	2	2	2	2	1	1	1	2
AxC0044	1	2	2	1	2	1	2	2	1	2	2	1	1	1	2	1	2	1	2	1	1	2	2	2	1	1	1	1	2	2	1	1	2	1	2	2	1	1	2	1	2	1	2	1	2	1	1	2	1	1	2	1	2	1	2
AxC0045	1	2	2	2	1	1	2	2	2	1	2	1	1	1	2	1	1	2	2	1	1	1	2	2	1	1	1	1	2	1	1	1	2	2	1	2	1	1	2	1	2	1	2	1	1	1	1	2	1	1	2	1	1	1	2
AxC0046	1	2	1	2	1	1	1	2	1	2	2	1	2	1	2	2	2	2	2	1	1	1	2	2	1	1	1	1	2	1	1	1	2	1	2	1	2	1	2	1	2	1	2	1	1	1	1	2	2	2	1	1	1	1	1
AxC0047	1	2	2	2	1	1	2	2	1	2	2	1	1	1	2	1	1	2	2	1	1	1	2	1	1	2	1	1	2	1	1	1	2	1	2	1	1	1	2	1	2	1	2	1	2	1	2	2	1	1	2	1	2	2	1
AxC0048	1	2	2	2	1	1	2	2	1	2	2	1	1	1	2	1	1	2	2	1	1	2	2	1	1	2	1	2	1	2	1	1	2	2	1	1	2	1	1	1	2	2	2	1	2	1	2	2	2	2	1	1	2	2	1
AxC0049	1	2	2	2	1	1	2	2	1	2	2	1	1	1	2	1	1	1	2	1	1	1	2	2	1	2	1	2	2	2	1	1	2	2	1	1	1	1	2	1	2	1	2	1	2	1	2	2	1	1	2	1	1	2	1
AxC0050	1	1	1	1	2	1	1	2	2	1	2	1	1	1	2	1	1	2	2	1	1	2	2	2	1	1	1	1	1	2	1	1	2	1	2	1	2	1	1	1	2	1	2	1	1	1	2	2	2	2	1	1	2	2	1
AxC0051	1	2	2	2	1	1	2	2	1	2	2	1	1	1	2	2	1	2	2	1	1	1	2	1	1	1	1	2	1	1	1	1	2	2	1	2	1	1	2	1	1	2	2	1	1	1	1	2	1	1	2	1	1	1	2
AxC0052	1	2	2	2	1	1	2	2	1	2	2	1	2	1	2	1	1	2	2	1	1	1	2	1	1	2	1	2	2	2	1	1	2	2	1	1	2	1	1	1	2	1	2	1	2	1	1	2	1	2	1	1	1	1	1
AxC0053	1	1	2	2	1	1	2	2	2	1	2	1	2	1	2	2	2	1	2	1	1	2	2	1	1	2	1	1	1	1	1	1	2	2	1	2	1	1	2	1	2	1	2	1	1	1	1	2	1	1	2	1	1	1	2
AxC0054	1	2	1	1	2	1	2	2	2	1	2	1	1	1	2	1	2	1	2	1	1	2	2	1	1	2	1	2	1	2	1	1	2	2	1	1	2	1	1	1	1	2	2	1	1	1	1	2	2	2	2	1	1	1	2
AxC0055	1	2	2	2	1	1	1	2	1	2	2	1	1	1	2	1	1	1	2	1	1	2	2	1	1	2	1	2	2	1	1	1	2	2	2	1	2	1	2	1	2	1	2	1	1	1	1	2	1	1	2	1	2	2	1
AxC0056	1	1	1	1	2	1	1	2	2	1	2	1	1	1	2	1	1	2	2	1	1	2	2	1	1	2	1	2	1	2	1	1	2	1	2	2	2	1	1	1	1	2	2	1	2	1	2	2	2	2	1	1	2	1	1
AxC0057	1	2	1	1	2	1	2	2	2	2	2	1	2	1	2	2	2	2	2	1	1	2	2	1	1	2	1	2	1	2	1	1	2	1	2	1	1	1	2	1	2	1	2	1	1	1	1	2	1	1	2	1	1	1	2
AxC0058	1	2	2	1	1	1	2	2	1	1	2	1	2	1	2	2	2	2	2	1	1	1	2	2	1	1	1	1	2	1	1	1	2	1	2	1	2	1	1	1	1	2	2	1	1	1	2	2	2	2	1	1	2	2	1
AxC0059	1	2	2	2	1	1	2	2	2	1	2	1	1	1	2	2	2	1	2	1	1	2	2	2	1	1	1	2	1	2	1	1	2	2	1	2	1	1	2	1	2	1	2	1	1	1	1	2	1	1	2	1	2	2	1
AxC0060	1	2	2	2	2	1	2	2	2	1	2	1	2	1	2	2	2	1	2	1	1	1	2	1	1	2	1	2	1	2	1	1	2	1	2	2	1	1	2	1	1	1	2	1	1	1	1	2	1	1	2	1	1	1	2
AxC0061	1	1	2	2	1	1	1	2	1	2	2	1	2	1	2	2	2	1	2	1	1	2	2	2	1	1	1	1	2	1	1	1	2	2	1	2	1	1	2	1	2	1	2	1	1	1	1	2	1	1	2	1	1	1	2
AxC0062	1	2	2	2	1	1	2	2	1	2	2	1	2	1	2	1	1	2	2	1	1	1	2	1	1	2	1	2	1	2	1	1	2	2	1	2	1	1	2	1	2	1	2	1	2	1	1	2	1	1	2	1	1	1	2
AxC0063	1	1	1	1	2	1	2	2	1	2	2	1	1	1	2	1	1	2	2	1	1	1	2	2	1	1	1	1	2	1	1	1	2	1	2	1	2	1	1	1	2	1	2	1	1	1	2	2	2	2	1	1	2	2	1
AxC0064	1	1	2	2	1	1	2	2	1	2	2	1	1	1	2	1	1	1	2	1	1	2	2	1	1	2	1	2	1	2	1	1	2	1	2	1	2	1	1	1	1	1	2	1	1	1	1	2	2	2	1	1	2	2	2
AxC0065	1	1	1	1	2	1	1	2	1	2	2	1	1	1	2	1	2	1	2	1	1	2	2	1	1	2	1	2	1	2	1	1	2	1	2	1	2	1	1	1	2	1	2	1	2	1	1	2	1	1	2	1	1	1	2
AxC0066	1	1	1	1	2	1	1	2	1	2	2	1	1	1	2	1	1	2	2	1	1	2	2	2	1	1	1	1	2	1	1	1	2	1	2	1	2	1	1	1	1	2	2	1	1	1	1	2	1	1	2	1	1	1	2
AxC0067	1	1	1	1	2	1	1	2	1	2	2	1	2	1	2	2	2	1	2	1	1	1	2	2	1	1	1	1	2	1	1	1	2	2	1	2	1	1	2	1	2	1	2	1	1	1	1	2	2	2	1	1	2	2	1
AxC0068	1	2	2	2	1	1	2	2	1	2	2	1	2	1	2	2	1	2	2	1	1	2	2	2	1	1	1	2	1	2	1	1	2	2	1	2	1	1	2	1	2	1	2	1	1	1	2	2	2	2	1	1	2	2	1
AxC0069	1	2	2	2	1	1	2	2	1	2	2	1	2	1	2	2	2	1	2	1	1	1	2	2	1	1	1	1	2	1	1	1	2	1	2	1	2	1	1	1	1	2	2	1	2	1	2	2	2	2	1	1	2	2	1
AxC0070	1	1	1	1	2	1	1	2	2	2	2	1	1	1	2	1	1	2	2	1	1	1	2	2	1	2	1	1	2	1	1	1	2	2	1	2	1	1	1	1	1	2	2	1	1	1	1	2	1	1	2	1	1	1	1
AxC0071	1	2	2	2	1	1	1	2	2	1	2	1	2	1	2	2	2	1	2	1	1	1	2	1	1	2	1	1	2	1	1	1	2	1	2	2	2	1	2	1	2	1	2	1	2	1	2	2	2	2	2	1	1	1	2
AxC0072	1	2	2	2	1	1	2	2	1	2	2	1	2	1	2	1	1	2	2	1	1	1	2	2	1	2	1	2	1	2	1	1	2	2	1	2	1	1	1	1	2	2	2	1	2	1	2	2	2	1	2	1	1	1	2
AxC0073	1	2	2	2	1	1	2	2	1	2	2	1	2	1	2	2	1	2	2	1	1	2	2	2	1	2	1	1	2	1	1	1	2	1	2	1	2	1	2	1	2	2	2	1	1	1	1	2	1	1	2	1	1	1	2
AxC0074	1	1	1	1	1	1	2	2	1	2	2	1	1	1	2	1	1	2	2	1	1	1	2	1	1	2	1	2	1	2	1	1	2	1	2	2	2	1	1	1	2	1	2	1	2	1	2	2	1	1	2	1	1	1	2
AxC0075	1	1	1	1	2	1	1	2	2	1	2	1	2	1	2	2	2	1	2	1	1	1	2	1	1	1	1	1	2	1	1	1	2	1	2	1	2	1	1	1	1	2	2	1	1	1	1	2	1	1	2	1	1	1	2
AxC0076	1	1	2	1	2	1	2	2	2	1	2	1	2	1	2	1	1	2	2	1	1	2	2	1	1	1	1	2	2	1	1	1	2	2	1	2	1	1	2	1	2	1	2	1	2	1	2	2	2	1	2	1	1	1	2
AxC0077	1	2	2	2	1	1	2	2	1	1	2	1	2	1	2	2	2	1	2	1	1	2	2	1	1	2	1	2	1	2	1	1	2	2	1	2	1	1	2	1	2	1	2	1	2	1	2	2	1	1	1	1	2	2	1
AxC0078	1	1	1	1	2	1	1	2	2	1	2	1	2	1	2	2	2	1	2	1	1	2	2	2	1	2	1	2	1	1	1	1	2	1	2	1	2	1	1	1	1	2	2	1	2	1	2	2	2	2	1	1	1	2	2
AxC0079	1	1	1	1	2	1	1	2	2	1	2	1	2	1	2	2	2	1	2	1	1	2	2	1	1	2	1	2	1	2	1	1	2	1	1	2	1	1	1	1	1	1	2	1	2	1	1	2	1	1	2	1	1	1	2
AxC0080	1	2	2	2	1	1	2	2	1	2	2	1	1	1	2	2	2	1	2	1	1	2	2	1	1	2	1	2	1	2	1	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	2	2	2	1	1	2	2	1
