ID	M1_1	M1_2	M1_3	M1_4	M1_5	M1_6	M1_7	M1_8	M1_9	M1_10	M1_11	M2_1	M2_2	M2_3	M2_4	M2_5	M2_6	M2_7	M2_8	M2_9	M2_10	M2_11	M3_1	M3_2	M3_3	M3_4	M3_5	M3_6	M3_7	M3_8	M3_9	M3_10	M3_11	M4_1	M4_2	M4_3	M4_4	M4_5	M4_6	M4_7	M4_8	M4_9	M4_10	M4_11	M5_1	M5_2	M5_3	M5_4	M5_5	M5_6	M5_7	M5_8	M5_9	M5_10	M5_11
AxB0051	2	2	2	2	1	1	2	2	2	1	1	1	2	2	2	2	2	1	1	2	2	1	1	1	2	2	2	1	2	1	1	1	2	1	2	1	2	1	1	2	2	2	1	1	1	1	2	2	1	1	2	1	1	1	2
AxB0052	2	2	2	1	1	2	2	2	2	1	2	1	2	1	2	2	2	1	2	2	2	1	1	2	2	2	2	1	1	2	2	2	2	1	2	1	2	1	1	1	1	2	2	1	2	1	2	2	1	1	2	2	1	2	2
AxB0053	1	2	2	1	1	2	2	2	1	2	2	2	2	2	2	2	2	1	2	1	1	2	2	2	1	1	1	1	1	1	1	1	2	1	2	2	1	1	1	2	2	2	2	1	1	1	1	2	1	2	2	1	1	1	2
AxB0054	2	2	2	1	1	2	2	2	1	2	2	2	2	2	2	1	2	2	1	2	2	1	2	2	1	1	1	1	2	1	1	1	2	1	2	1	2	1	1	2	2	2	1	1	1	1	1	2	1	2	2	2	1	2	2
AxB0055	1	2	2	1	1	2	2	2	2	1	2	1	2	1	2	2	2	1	2	1	1	1	2	2	1	1	1	1	2	1	1	1	2	1	2	2	1	1	1	2	2	2	1	1	2	1	2	2	1	2	2	2	1	2	2
AxB0056	1	2	2	1	1	2	2	2	2	1	1	2	2	2	2	2	2	1	2	2	2	1	2	2	1	1	1	1	2	1	1	1	2	1	2	1	2	1	1	1	1	2	2	1	1	1	1	2	1	2	2	2	1	1	2
AxB0057	2	2	2	2	1	2	2	2	2	1	1	1	2	1	2	2	2	1	2	1	1	2	1	1	2	2	2	1	2	1	1	1	2	1	2	2	1	1	1	1	1	2	2	1	2	1	2	2	1	2	2	2	1	2	2
AxB0058	1	2	2	1	1	1	2	2	1	2	2	2	2	1	2	1	2	1	2	2	1	1	1	1	2	2	2	1	1	2	2	2	2	1	2	1	2	1	1	1	2	2	2	1	2	1	2	2	1	2	2	2	1	2	2
AxB0059	1	2	2	1	1	1	2	2	2	1	2	2	2	2	2	1	2	2	1	2	2	1	2	2	1	2	2	1	1	2	2	2	2	1	2	2	2	1	1	2	2	2	1	1	2	1	2	2	1	2	2	2	1	2	2
AxB0060	2	2	2	2	1	1	2	2	1	1	1	1	2	2	2	1	2	2	1	2	2	1	2	2	1	1	1	1	2	1	1	1	2	1	2	2	2	1	1	1	1	2	2	1	2	1	2	2	1	1	2	1	1	1	2
AxB0061	2	2	2	1	1	2	2	2	2	2	2	2	2	2	2	1	2	2	1	2	2	2	2	1	1	1	1	1	1	2	2	2	2	1	2	2	1	1	1	2	1	2	2	1	2	1	2	2	1	2	2	1	1	2	2
AxB0062	1	2	2	2	1	1	2	2	2	2	1	1	2	1	2	2	2	2	1	2	2	1	1	1	2	1	1	1	1	2	2	2	2	1	2	2	1	1	1	1	1	2	2	1	1	1	2	2	1	2	2	2	1	2	2
AxB0063	1	2	2	1	1	1	2	2	1	2	2	1	2	2	2	2	2	1	2	2	1	1	1	1	2	1	1	1	2	1	1	1	2	1	2	2	1	1	1	1	1	2	1	1	1	1	1	2	1	1	2	1	1	1	2
AxB0064	2	2	2	1	1	2	2	2	1	2	2	1	2	2	2	2	2	1	2	1	1	2	2	2	1	2	2	1	2	1	2	2	2	1	2	2	1	1	1	2	2	2	1	1	2	1	2	2	1	1	2	1	1	2	2
AxB0065	1	2	2	2	1	2	2	2	1	2	2	2	2	1	2	2	2	1	1	2	2	1	2	2	1	2	1	1	2	2	2	2	2	1	2	1	1	1	1	1	1	2	2	1	2	1	1	2	1	1	2	1	1	1	2
AxB0066	1	2	2	2	1	1	2	2	1	2	2	2	2	2	2	1	2	2	1	2	2	2	2	1	2	2	2	1	1	2	2	2	2	1	2	1	2	1	1	2	1	2	2	1	1	1	1	2	1	1	2	2	1	2	2
AxB0067	1	2	2	1	1	2	2	2	2	1	1	1	2	1	2	2	2	1	2	1	1	1	2	2	1	1	1	1	2	1	1	1	2	1	2	1	1	1	1	2	2	2	1	1	1	1	1	2	1	1	2	1	1	2	2
AxB0068	1	2	2	2	1	1	2	2	2	1	1	1	2	1	2	1	2	1	2	1	1	2	2	2	1	1	1	1	2	1	2	2	2	1	2	2	1	1	1	1	2	2	2	1	1	1	1	2	1	1	2	1	1	1	2
AxB0069	2	2	2	1	1	2	2	2	2	1	1	2	2	1	2	2	2	1	2	1	1	1	1	1	2	2	2	1	1	2	2	2	2	1	2	2	1	1	1	2	2	2	1	1	1	1	2	2	1	1	2	2	1	2	2
AxB0070	2	2	2	2	1	2	2	2	1	2	2	2	2	2	2	1	2	2	1	2	2	2	2	2	1	1	1	1	2	2	2	1	2	1	2	2	2	1	1	1	1	2	2	1	2	1	2	2	1	1	2	1	1	1	2
AxB0071	2	2	2	1	1	2	2	2	2	1	2	1	2	1	2	2	2	2	1	2	2	1	1	1	1	1	2	1	1	2	1	2	2	1	2	1	2	1	1	1	1	2	2	1	2	1	2	2	1	2	2	2	1	2	2
AxB0072	2	2	2	2	1	1	2	2	2	1	1	2	2	2	2	1	2	2	1	2	2	1	2	2	1	1	1	1	2	1	1	1	2	1	2	1	2	1	1	2	2	2	2	1	2	1	1	2	1	1	2	2	1	2	2
AxB0073	2	2	2	2	1	2	2	2	2	1	2	1	2	1	2	1	2	1	2	1	1	2	2	2	1	2	2	1	1	2	2	2	2	1	2	1	1	1	1	2	2	2	1	1	1	1	1	2	1	1	2	2	1	2	2
AxB0074	1	2	2	1	1	2	2	2	2	1	1	1	2	1	2	1	2	2	1	2	2	1	1	1	2	2	1	1	2	1	1	1	2	1	2	2	2	1	1	2	2	2	1	1	1	1	1	2	1	2	2	2	1	1	2
AxB0075	2	2	2	2	1	1	2	2	1	2	2	1	2	1	2	1	2	1	2	1	1	2	1	1	2	2	2	1	1	2	2	2	2	1	2	2	1	1	1	2	2	2	2	1	1	1	1	2	1	1	2	1	1	1	2
AxB0076	2	2	2	1	1	2	2	2	2	2	2	1	2	1	2	2	2	1	1	2	2	1	1	1	2	2	2	1	2	1	1	1	2	1	2	2	1	1	1	1	2	2	2	1	2	1	2	2	1	1	2	1	1	1	2
AxB0077	1	2	2	2	1	1	2	2	2	1	2	1	2	1	2	2	2	1	2	1	1	2	1	1	2	2	1	1	2	1	2	2	2	1	2	2	1	1	1	2	2	2	1	1	1	1	2	2	1	2	2	2	1	2	2
AxB0078	2	2	2	1	1	2	2	2	2	1	1	1	2	1	2	2	2	1	2	1	1	2	2	2	1	1	1	1	2	1	1	1	2	1	2	1	2	1	1	1	1	2	1	1	1	1	2	2	1	2	2	1	1	1	2
AxB0079	2	2	2	1	1	2	2	2	2	1	1	2	2	2	2	1	2	1	2	2	1	1	1	1	2	2	2	1	1	2	2	2	2	1	2	2	1	1	1	1	1	2	2	1	1	1	1	2	1	1	2	1	1	1	2
AxB0080	1	2	2	2	1	2	2	2	2	2	1	2	2	2	2	1	2	2	2	1	1	2	2	2	1	1	1	1	2	1	1	1	2	1	2	1	2	1	1	1	1	2	2	1	1	1	1	2	1	1	2	2	1	2	2
AxB0081	1	2	2	2	1	1	2	2	2	2	2	2	2	1	2	2	2	1	2	1	1	1	2	2	1	1	1	1	2	1	2	2	2	1	2	1	2	1	1	1	1	2	2	1	1	1	1	2	1	1	2	1	1	1	2
AxB0082	1	2	2	2	1	1	2	2	1	2	2	2	2	2	2	2	2	2	1	2	2	1	1	1	2	2	2	1	1	2	2	2	2	1	2	2	1	1	1	1	1	2	1	1	1	1	1	2	1	1	2	2	1	2	2
AxB0083	1	2	2	2	1	1	2	2	1	2	2	1	2	1	2	1	2	2	1	2	2	1	1	1	2	2	2	1	1	2	2	2	2	1	2	1	2	1	1	2	1	2	2	1	2	1	1	2	1	2	2	1	1	2	2
AxB0084	2	2	2	2	1	1	2	2	1	2	2	1	2	2	2	2	2	1	2	1	1	1	1	1	2	2	2	1	2	1	1	1	2	1	2	2	2	1	1	1	1	2	2	1	1	1	1	2	1	1	2	1	1	1	2
AxB0085	2	2	2	1	1	1	2	2	1	2	2	1	2	1	2	1	2	2	1	1	1	2	2	2	2	2	2	1	1	2	2	1	2	1	2	1	1	1	1	2	2	2	1	1	1	1	1	2	1	1	2	1	1	1	2
AxB0086	2	2	2	2	1	2	2	2	2	1	1	1	2	2	2	1	2	1	2	1	1	2	2	2	1	1	1	1	2	1	1	1	2	1	2	2	1	1	1	2	2	2	1	1	2	1	2	2	1	2	2	2	1	2	2
AxB0087	2	2	2	1	1	2	2	2	2	1	1	2	2	2	2	1	2	1	1	2	2	1	1	1	2	2	2	1	1	2	2	2	2	1	2	2	1	1	1	1	2	2	2	1	1	1	2	2	1	1	2	1	1	1	2
AxB0088	2	2	2	1	1	2	2	2	2	1	1	2	2	2	2	2	2	1	1	2	2	1	1	1	2	2	2	1	1	2	1	1	2	1	2	2	1	1	1	2	2	2	2	1	2	1	2	2	1	2	2	1	1	1	2
AxB0089	1	2	2	2	1	1	2	2	1	1	1	1	2	1	2	1	2	2	2	1	2	1	2	2	1	1	1	1	1	2	1	2	2	1	2	2	1	1	1	2	2	2	1	1	1	1	2	2	1	1	2	1	1	1	2
AxB0090	1	2	2	2	1	1	2	2	1	2	2	2	2	2	2	1	2	2	1	2	2	1	1	1	2	2	2	1	1	2	1	1	2	1	2	1	1	1	1	2	2	2	1	1	2	1	2	2	1	1	2	1	1	1	2
AxB0091	2	2	2	1	1	2	2	2	1	2	2	1	2	1	2	1	2	2	1	2	2	1	2	2	2	2	2	1	1	2	2	1	2	1	2	2	2	1	1	1	1	2	2	1	1	1	1	2	1	1	2	1	1	1	2
AxB0092	2	2	2	2	1	1	2	2	1	1	1	1	2	1	2	2	2	1	2	2	2	1	2	2	1	1	1	1	2	1	1	1	2	1	2	2	1	1	1	1	1	2	2	1	2	1	1	2	1	1	2	1	1	1	2
AxB0093	1	2	2	1	1	2	2	2	1	2	1	2	2	1	2	2	2	1	2	1	1	2	2	2	1	1	1	1	1	1	1	1	2	1	2	1	2	1	1	1	1	2	2	1	1	1	1	2	1	1	2	2	1	1	2
AxB0094	2	2	2	2	1	2	2	2	1	2	2	2	2	2	2	1	2	2	1	1	1	2	2	2	1	2	1	1	1	2	2	2	2	1	2	1	2	1	1	2	2	2	1	1	2	1	2	2	1	2	2	2	1	2	2
AxB0095	2	2	2	1	1	2	2	2	2	1	1	1	2	1	2	2	2	2	2	1	1	2	2	2	2	2	2	1	1	2	2	2	2	1	2	1	2	1	1	1	1	2	2	1	2	1	2	2	1	1	2	1	1	2	2
AxB0096	2	2	2	1	1	1	2	2	2	2	2	2	2	2	2	1	2	2	2	1	2	1	2	2	1	1	1	1	2	1	2	2	2	1	2	2	1	1	1	2	2	2	1	1	2	1	2	2	1	2	2	1	1	1	2
AxB0097	2	2	2	1	1	2	2	2	2	1	2	1	2	1	2	1	2	1	1	2	2	1	2	2	2	2	1	1	2	1	1	1	2	1	2	2	1	1	1	2	2	2	1	1	2	1	2	2	1	1	2	1	1	1	2
AxB0098	1	2	2	2	1	1	2	2	1	2	2	1	2	1	2	2	2	1	2	2	2	1	1	1	2	2	2	1	1	2	2	1	2	1	2	1	2	1	1	2	1	2	2	1	2	1	1	2	1	1	2	1	1	1	2
AxB0099	2	2	2	1	1	2	2	2	1	2	2	1	2	1	2	1	2	2	1	2	2	1	1	1	2	2	2	1	1	2	2	2	2	1	2	1	2	1	1	1	1	2	2	1	1	1	1	2	1	1	2	1	1	1	2
AxB0100	1	2	2	1	1	2	2	2	2	2	2	1	2	1	2	2	2	1	2	1	1	2	1	1	2	2	2	1	1	2	2	2	2	1	2	2	1	1	1	2	2	2	1	1	1	1	1	2	1	1	2	1	1	1	2
